PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40671165,Diagnostic Potential of S. mansoni Egg and Worm Antigens for Urogenital Schistosomiasis in Resource-Limited Settings.,2025,"['Sulaiman', 'Oriade', 'Oyeyemi']","['department of biosciences and biotechnology, university of medical sciences, ondo, nigeria.', 'department of biosciences and biotechnology, university of medical sciences, ondo, nigeria.', 'department of biosciences and biotechnology, university of medical sciences, ondo, nigeria.']",
40671151,Comparative analysis of antiangiogenic and immunotherapeutic regimens in the treatment of metastatic pulmonary lymphoepithelioma-like carcinoma.,2025,"['Qu', 'Gao', 'Zhang', 'Zhang', 'Hong', 'Tie', 'Liu']","['department of medical oncology, kai feng central hospital, no.85 of hedao street, longting district, kaifeng, 475000, henan province, china.', 'department of medical oncology, kai feng central hospital, no.85 of hedao street, longting district, kaifeng, 475000, henan province, china.', 'department of medical oncology, kai feng central hospital, no.85 of hedao street, longting district, kaifeng, 475000, henan province, china.', 'department of medical oncology, kai feng central hospital, no.85 of hedao street, longting district, kaifeng, 475000, henan province, china.', 'department of medical oncology, kai feng central hospital, no.85 of hedao street, longting district, kaifeng, 475000, henan province, china.', 'department of medical oncology, kai feng central hospital, no.85 of hedao street, longting district, kaifeng, 475000, henan province, china. tiexiaojingxf@126.com.', 'department of medical oncology, kai feng central hospital, no.85 of hedao street, longting district, kaifeng, 475000, henan province, china. peijieliulpj@126.com.']",tiexiaojingxf@126.com.
40671046,"Medicinal plants: nutritional, immunological and therapeutic role in treating cancer-related malnutrition: a comprehensive review.",2025,"['Alnadari', 'Assal']","['research and development center, jiangsu tianmeijian nature bioengineering co., ltd., nanjing, 210046, china.', 'faculty of biotechnology, october university for modern sciences and arts, 6th october city, 12451, egypt.']",m.talaatelsadony@gmail.com.
40671023,Carrier-free nano-integrated strategy of phototherapy and chemotherapy for synergetic AKT targeted therapy to inhibit cancer metastasis and recurrence.,2025,"['Lu', 'Wang', 'Xu', 'Hu', 'Jin']","['college of biotechnology and bioengineering, zhejiang university of technology, hangzhou, 310032, china.', 'college of biotechnology and bioengineering, zhejiang university of technology, hangzhou, 310032, china.', 'college of biotechnology and bioengineering, zhejiang university of technology, hangzhou, 310032, china.', 'college of biotechnology and bioengineering, zhejiang university of technology, hangzhou, 310032, china. huqinglian@zjut.edu.cn.', 'college of biotechnology and bioengineering, zhejiang university of technology, hangzhou, 310032, china. jinyx@zjut.edu.cn.']",huqinglian@zjut.edu.cn.
40671013,Role of S1PR1 in VEGF-exosomes mediated resistance of hepatocellular carcinoma to anti-angiogenesis therapy.,2025,['Yao'],"['department of radiotherapy, precision radiation in oncology key laboratory of sichuan province, sichuan clinical research center for cancer, sichuan cancer center, sichuan cancer hospital & institute, university of electronic science and technology of china, chengdu, 610041, china.']",ye@scu.edu.cn.
40670933,Does pathological complete response after neoadjuvant chemoradiotherapy associate with long-term survival in esophageal cancer: A systematic review and meta-analysis.,2025,"['Sun', 'Sun', 'Zhang', 'Zhang', 'Jin', 'Jin', 'Li', 'Li', 'Zhu', 'Zhu', 'Shen', 'Shen']","['key laboratory of minimally invasive techniques & rapid rehabilitation of digestive system tumor of zhejiang province, taizhou hospital of zhejiang province affiliated to wenzhou medical university, linhai, 317000, china.', 'department of thoracic surgery, taizhou hospital of zhejiang province, wenzhou medical university, linhai, 317000, china.', 'key laboratory of minimally invasive techniques & rapid rehabilitation of digestive system tumor of zhejiang province, taizhou hospital of zhejiang province affiliated to wenzhou medical university, linhai, 317000, china.', 'department of thoracic surgery, taizhou hospital of zhejiang province, wenzhou medical university, linhai, 317000, china.', 'key laboratory of minimally invasive techniques & rapid rehabilitation of digestive system tumor of zhejiang province, taizhou hospital of zhejiang province affiliated to wenzhou medical university, linhai, 317000, china.', 'department of thoracic surgery, taizhou hospital of zhejiang province, wenzhou medical university, linhai, 317000, china.', 'key laboratory of minimally invasive techniques & rapid rehabilitation of digestive system tumor of zhejiang province, taizhou hospital of zhejiang province affiliated to wenzhou medical university, linhai, 317000, china.', 'department of thoracic surgery, taizhou hospital of zhejiang province, wenzhou medical university, linhai, 317000, china.', 'key laboratory of minimally invasive techniques & rapid rehabilitation of digestive system tumor of zhejiang province, taizhou hospital of zhejiang province affiliated to wenzhou medical university, linhai, 317000, china. zhucc@enzemed.com.', 'department of thoracic surgery, taizhou hospital of zhejiang province, wenzhou medical university, linhai, 317000, china. zhucc@enzemed.com.', 'key laboratory of minimally invasive techniques & rapid rehabilitation of digestive system tumor of zhejiang province, taizhou hospital of zhejiang province affiliated to wenzhou medical university, linhai, 317000, china. jianfei051@163.com.', 'department of thoracic surgery, taizhou hospital of zhejiang province, wenzhou medical university, linhai, 317000, china. jianfei051@163.com.']",zhucc@enzemed.com.
40670854,Superparamagnetic iron oxide nanoparticles (SPIONs) in targeting brain tumors: advances and challenges.,2025,"['Maheshwari', 'Singh', 'Verma', 'Shariq', 'Akhtar', 'Alsaidan', 'Prajapati', 'Prajapati', 'Prajapati']","['bioorganic and medicinal chemistry research laboratory, department of pharmaceutical sciences, sam higginbottom university of agriculture, technology and sciences, prayagraj, 211007, india.', 'department of pharmacy, faculty of pharmacy, integral university, lucknow, uttar pradesh, 226026, india.', 'bioorganic and medicinal chemistry research laboratory, department of pharmaceutical sciences, sam higginbottom university of agriculture, technology and sciences, prayagraj, 211007, india.', 'department of pharmacy, faculty of pharmacy, integral university, lucknow, uttar pradesh, 226026, india.', 'department of pharmacy, faculty of pharmacy, integral university, lucknow, uttar pradesh, 226026, india.', 'department of pharmaceutics, college of pharmacy, jouf university, 72341, sakaka, saudi arabia.', 'department of pharmaceutics, parul institute of pharmacy, faculty of pharmacy, parul university, waghodia, vadodara, gujarat, 391760, india. bhupen27@gmail.com.', 'centre for research impact & outcome, chitkara college of pharmacy, chitkara university, rajpura, 140401, punjab, india. bhupen27@gmail.com.', 'department of industrial pharmacy, faculty of pharmacy, silpakorn university, nakhon pathom, 73000, thailand. bhupen27@gmail.com.']",bhupen27@gmail.com.
40670830,Exploring the role of inflammatory regulatory effects of probiotics as adjuvants in cancer development management with considering possible challenges: a comprehensive review.,2025,"['Mahooti', 'Safaei', 'Zare', 'Safavi', 'Mirdamadi']","['department of biotechnology, iranian research organization for science and technology, p. o. box 3353-5111, tehran, iran.', 'department of biotechnology, iranian research organization for science and technology, p. o. box 3353-5111, tehran, iran.', 'department of biotechnology, iranian research organization for science and technology, p. o. box 3353-5111, tehran, iran.', 'department of biotechnology, iranian research organization for science and technology, p. o. box 3353-5111, tehran, iran. safavi_maliheh@yahoo.com.', 'department of biotechnology, iranian research organization for science and technology, p. o. box 3353-5111, tehran, iran. mirdamadi@irost.ir.']",safavi_maliheh@yahoo.com.
40670786,Imidazole propionate is a driver and therapeutic target in atherosclerosis.,2025,"['Georgiopoulos', 'Stamatelopoulos', 'Cibrian', 'Sánchez-Madrid']","['department of clinical therapeutics, national and kapodistrian university of athens medical school, athens, greece.', 'department of clinical therapeutics, national and kapodistrian university of athens medical school, athens, greece.', 'department of immunology, instituto de investigación sanitaria del hospital universitario de la princesa, madrid, spain.', 'department of immunology, instituto de investigación sanitaria del hospital universitario de la princesa, madrid, spain.']",dsancho@cnic.es.
40670773,CLDN18.2-targeting antibody-drug conjugate IBI343 in advanced gastric or gastroesophageal junction adenocarcinoma: a phase 1 trial.,2025,"['Liu', 'Pan', 'Mou', 'Lu', 'Chen', 'Li', 'Luo', 'Zhao', 'Guo', 'Zhou']","[""the kinghorn cancer centre, st vincent's hospital sydney, darlinghurst, new south wales, australia."", 'anhui provincial hospital, hefei, china.', ""zhejiang provincial people's hospital, hangzhou, china."", ""henan provincial people's hospital, zhengzhou, china."", 'ningxia medical university general hospital, yinchuan, china.', 'anhui provincial cancer hospital, hefei, china.', 'innovent biologics (suzhou) co. ltd, suzhou, china.', 'innovent biologics (suzhou) co. ltd, suzhou, china.', 'innovent biologics (suzhou) co. ltd, suzhou, china.', 'innovent biologics (suzhou) co. ltd, suzhou, china.']",linshenpku@163.com.
